ticker,selected_weeks,avg_rank,avg_score
AMAT,14,3.0,1.0003250499343095
COST,10,5.235294117647059,0.6323462285866593
AMGN,10,6.647058823529412,0.492747116584712
TXN,9,6.470588235294118,0.5959073073312706
CSCO,9,6.235294117647059,0.3996389944428646
PEP,8,6.647058823529412,0.47430948195548256
NFLX,6,11.176470588235293,-0.15374349849630342
GOOGL,5,7.9411764705882355,0.359215411994204
AMZN,4,9.941176470588236,0.04838439889716512
AMD,4,11.470588235294118,-0.12161478799564268
ISRG,2,11.705882352941176,-0.13443552867234387
AVGO,2,11.764705882352942,-0.18378386679558822
AAPL,1,9.294117647058824,0.13502511103469253
NVDA,1,9.294117647058824,0.11553391499877061
META,0,12.764705882352942,-0.2259334228658168
MSFT,0,14.882352941176471,-0.4313670570612759
TSLA,0,15.0,-0.45645820640028634
QCOM,0,15.294117647058824,-0.5087715021001735
ADBE,0,17.294117647058822,-0.8224387574810607
INTU,0,17.941176470588236,-1.2148863878916396
