bucket,model,val_mse,train_size,val_size,infer_size,ml_datadate,val_cutoff
cyclical,RF,0.012255,51,6,2,2025-09-30,2025-06-30
cyclical,HistGBM,0.017427,51,6,2,2025-09-30,2025-06-30
cyclical,ExtraTrees,0.014799,51,6,2,2025-09-30,2025-06-30
cyclical,Ridge,0.02263,51,6,2,2025-09-30,2025-06-30
cyclical,Stacking,0.015009,51,6,2,2025-09-30,2025-06-30
defensive,RF,0.013699,139,12,4,2025-09-30,2025-06-30
defensive,HistGBM,0.016344,139,12,4,2025-09-30,2025-06-30
defensive,ExtraTrees,0.024187,139,12,4,2025-09-30,2025-06-30
defensive,Ridge,0.020719,139,12,4,2025-09-30,2025-06-30
defensive,Stacking,0.015456,139,12,4,2025-09-30,2025-06-30
growth_tech,RF,0.029762,455,42,14,2025-09-30,2025-06-30
growth_tech,HistGBM,0.037377,455,42,14,2025-09-30,2025-06-30
growth_tech,ExtraTrees,0.029829,455,42,14,2025-09-30,2025-06-30
growth_tech,Ridge,0.028637,455,42,14,2025-09-30,2025-06-30
growth_tech,Stacking,0.025494,455,42,14,2025-09-30,2025-06-30
cyclical,RF,0.025233,53,6,2,2025-12-31,2025-09-30
cyclical,HistGBM,0.01711,53,6,2,2025-12-31,2025-09-30
cyclical,ExtraTrees,0.036792,53,6,2,2025-12-31,2025-09-30
cyclical,Ridge,0.046621,53,6,2,2025-12-31,2025-09-30
cyclical,Stacking,0.015672,53,6,2,2025-12-31,2025-09-30
defensive,RF,0.014132,143,12,4,2025-12-31,2025-09-30
defensive,HistGBM,0.016905,143,12,4,2025-12-31,2025-09-30
defensive,ExtraTrees,0.023452,143,12,4,2025-12-31,2025-09-30
defensive,Ridge,0.019629,143,12,4,2025-12-31,2025-09-30
defensive,Stacking,0.014534,143,12,4,2025-12-31,2025-09-30
growth_tech,RF,0.035527,469,42,14,2025-12-31,2025-09-30
growth_tech,HistGBM,0.037329,469,42,14,2025-12-31,2025-09-30
growth_tech,ExtraTrees,0.035522,469,42,14,2025-12-31,2025-09-30
growth_tech,Ridge,0.035427,469,42,14,2025-12-31,2025-09-30
growth_tech,Stacking,0.035402,469,42,14,2025-12-31,2025-09-30
