ml_datadate,ml_available_from,val_cutoff,ticker,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score
2025-09-30,2025-12-01,2025-06-30,AAPL,growth_tech,Stacking,0.055621831251935316,0.052880933788374586,0.01252882682543476
2025-09-30,2025-12-01,2025-06-30,ADBE,growth_tech,Stacking,0.053681900817040655,0.008870093764311575,-0.02567601251133411
2025-09-30,2025-12-01,2025-06-30,AMAT,growth_tech,Stacking,0.0506727669886239,0.06292579162401028,-0.08493766044962264
2025-09-30,2025-12-01,2025-06-30,AMD,growth_tech,Stacking,0.07505881327442997,0.1126243668211562,0.39531924137006536
2025-09-30,2025-12-01,2025-06-30,AMGN,defensive,RF,0.016664531245288324,0.008906111003527551,-0.7546932142211408
2025-09-30,2025-12-01,2025-06-30,AMZN,cyclical,RF,0.0385132606496605,0.018400740299499275,-0.32440603402547435
2025-09-30,2025-12-01,2025-06-30,AVGO,growth_tech,Stacking,0.05663029125072373,0.05081976758652647,0.03238935972818375
2025-09-30,2025-12-01,2025-06-30,COST,defensive,RF,0.04966891155153702,0.038947853266654925,-0.1047075114717953
2025-09-30,2025-12-01,2025-06-30,CSCO,growth_tech,Stacking,0.056077392911248275,0.049238557146736694,0.02150062276665803
2025-09-30,2025-12-01,2025-06-30,GOOGL,growth_tech,Stacking,0.07018480401194714,0.08557875077180907,0.29933088145282377
2025-09-30,2025-12-01,2025-06-30,INTU,growth_tech,Stacking,0.026242889258774865,0.008131279215396442,-0.5660577753245
2025-09-30,2025-12-01,2025-06-30,ISRG,defensive,RF,-0.011923773495761618,-0.019503967396510637,-1.317709067726067
2025-09-30,2025-12-01,2025-06-30,META,growth_tech,Stacking,0.07737858885091906,0.08506973872429933,0.4410047214279822
2025-09-30,2025-12-01,2025-06-30,MSFT,growth_tech,Stacking,0.060184816164550514,0.020868385760260857,0.10239189734941982
2025-09-30,2025-12-01,2025-06-30,NFLX,growth_tech,Stacking,0.052250144476050635,0.024883101089937076,-0.05387291070572426
2025-09-30,2025-12-01,2025-06-30,NVDA,growth_tech,Stacking,0.051270972097956787,0.05857949009308425,-0.07315665548088611
2025-09-30,2025-12-01,2025-06-30,PEP,defensive,RF,-0.03399657502304097,-0.024599292629951537,-1.7524091069096295
2025-09-30,2025-12-01,2025-06-30,QCOM,growth_tech,Stacking,0.056284380731914975,0.04745805971541282,0.025577024832935526
2025-09-30,2025-12-01,2025-06-30,TSLA,cyclical,RF,0.24304363650000047,0.18968963578861464,3.7035993048749867
2025-09-30,2025-12-01,2025-06-30,TXN,growth_tech,Stacking,0.05620349503492359,0.031545503025532995,0.023984068197680616
2025-12-31,2026-03-01,2025-09-30,AAPL,growth_tech,Stacking,0.04851114286972034,-0.004305298082419777,-0.030788818634347823
2025-12-31,2026-03-01,2025-09-30,ADBE,growth_tech,Stacking,0.0442431427729231,-0.03925118811311346,-0.24569958535457545
2025-12-31,2026-03-01,2025-09-30,AMAT,growth_tech,Stacking,0.05098083364135582,0.012428836859274033,0.09356992673970767
2025-12-31,2026-03-01,2025-09-30,AMD,growth_tech,Stacking,0.042997717610379016,0.028237987995518382,-0.30841169184582534
2025-12-31,2026-03-01,2025-09-30,AMGN,defensive,RF,0.04093638247163491,0.04120275424038511,-0.4122081082206228
2025-12-31,2026-03-01,2025-09-30,AMZN,cyclical,Stacking,0.03992472970115525,0.08125635296114053,-0.4631488457153519
2025-12-31,2026-03-01,2025-09-30,AVGO,growth_tech,Stacking,0.041335470304332635,0.015962982592457525,-0.39211244979312115
2025-12-31,2026-03-01,2025-09-30,COST,defensive,RF,0.021005067254317167,0.02206360042644099,-1.4158290402610547
2025-12-31,2026-03-01,2025-09-30,CSCO,growth_tech,Stacking,0.059082636581558615,0.07012497341602202,0.5015279028891857
2025-12-31,2026-03-01,2025-09-30,GOOGL,growth_tech,Stacking,0.07857430410743968,0.07563720140503888,1.4830108264219939
2025-12-31,2026-03-01,2025-09-30,INTU,growth_tech,Stacking,0.036166579256772496,0.0019427814827384588,-0.6523866561967401
2025-12-31,2026-03-01,2025-09-30,ISRG,defensive,RF,0.08225744757245707,0.05061397200820043,1.6684717374002926
2025-12-31,2026-03-01,2025-09-30,META,growth_tech,Stacking,0.08527943375587171,0.08902620868260969,1.8206407516847434
2025-12-31,2026-03-01,2025-09-30,MSFT,growth_tech,Stacking,0.05896427037617549,0.05742509286281237,0.49556769403826745
2025-12-31,2026-03-01,2025-09-30,NFLX,growth_tech,Stacking,0.06540093844777646,0.07349727156339142,0.8196795119900585
2025-12-31,2026-03-01,2025-09-30,NVDA,growth_tech,Stacking,0.049822154979230635,0.03104906574215617,0.03522585129168855
2025-12-31,2026-03-01,2025-09-30,PEP,defensive,RF,-0.0036857934290769677,-0.0005886299056752971,-2.659112001859977
2025-12-31,2026-03-01,2025-09-30,QCOM,growth_tech,Stacking,0.05209654456677418,0.008215524216244677,0.14975040588255653
2025-12-31,2026-03-01,2025-09-30,TSLA,cyclical,Stacking,0.03822113644126429,0.08924989655610382,-0.5489315367554294
2025-12-31,2026-03-01,2025-09-30,TXN,growth_tech,Stacking,0.050337670892801466,0.08196995802225725,0.0611841262985528
