date,portfolio_return
2026-01-05,0.0
2026-01-06,-0.0009990009990008542
2026-01-07,0.0023825567711417417
2026-01-08,-0.008961503661147341
2026-01-09,0.02209145281660363
2026-01-12,0.006358726988132224
2026-01-13,-0.0035602028733396907
2026-01-14,-0.0072297623567944
2026-01-15,0.01791637453971595
2026-01-16,0.008664198484545471
2026-01-20,-0.022557916346987117
2026-01-21,0.016499816380869836
2026-01-22,0.0014347270710559634
2026-01-23,0.002700460345413269
2026-01-26,0.0035842800549190645
2026-01-27,0.01987001490044893
2026-01-28,0.006460634835524504
2026-01-29,0.0016294481684506756
2026-01-30,-0.02693538129043571
2026-02-02,0.011423870929906599
2026-02-03,-0.018740082259837254
2026-02-04,-0.03246815479612564
2026-02-05,-0.0017900614607484489
2026-02-06,0.031106542615362054
2026-02-09,0.011700905941148143
2026-02-10,-0.0040765948081832315
2026-02-11,0.014489365314195979
2026-02-12,-0.02514956119748679
2026-02-13,0.03141982503238161
2026-02-17,0.0038477004541157545
2026-02-18,0.0146137600134566
2026-02-19,-0.0019850387275565096
2026-02-20,0.011130618271420145
2026-02-23,-0.009246983374551432
2026-02-24,0.005840140612559663
2026-02-25,0.021371009845246647
2026-02-26,-0.021567412061844204
2026-02-27,-0.004712989339211493
2026-03-02,-0.000653257166098653
2026-03-03,-0.025830568886564986
2026-03-04,0.013770208256876248
2026-03-05,-0.012788793691813294
2026-03-06,-0.028241960978182212
2026-03-09,0.02066707211126184
2026-03-10,0.0067907106204758705
2026-03-11,0.005246461753771081
2026-03-12,-0.024442138406586267
2026-03-13,0.0002452111162924986
2026-03-16,0.01131150550087523
2026-03-17,0.009352800962403096
2026-03-18,-0.01299990340600865
2026-03-19,-0.0020031772241676515
2026-03-20,-0.018662855553640445
2026-03-23,0.007991233185732582
2026-03-24,0.007924341702359783
2026-03-25,-0.0007627971258642452
2026-03-26,-0.04782708841729921
2026-03-27,-0.01446792389747742
2026-03-30,-0.019477175527529367
2026-03-31,0.04342517054727124
2026-04-01,0.021592678126157727
2026-04-02,-0.005514386011200467
2026-04-06,0.007591783248523498
2026-04-07,0.0012845112955066629
2026-04-08,0.03281718206143336
2026-04-09,0.0014935972463780978
2026-04-10,-0.0036949322936985496
2026-04-13,0.006065911717439532
2026-04-14,0.011294297572729706
2026-04-15,0.007295539351726665
2026-04-16,-0.0012983706468808753
2026-04-17,0.014997507478938132
2026-04-20,-0.007910901011256466
2026-04-21,-0.0027384702523283178
2026-04-22,0.015451388361572782
2026-04-23,-0.00571984267434078
2026-04-24,0.01626460573593458
2026-04-27,0.0026002634851007844
2026-04-28,-0.014173477015016145
2026-04-29,0.012231141369675846
2026-04-30,0.02388961160253511
